city,x,y
Algiers,38,331
Oran,-78,289
Constantine,157,312
Blida,47,310
Batna,144,280
Setif,118,305
Djelfa,43,244
Annaba,185,335
Sidi Bel Abbes,-84,239
Biskra,130,248
Tebessa,189,260
Tiaret,-14,259
Bejaia,94,330
Tlemcen,-117,250
Bordj Bou Arreridj,89,302
Bechar,-114,121
Skikda,159,329
Souk Ahras,192,306
Chlef,-26,316
M'Sila,72,276
Mostaganem,-53,302
Medea,32,301
Tizi Ouzou,75,329
El Oued,172,190
Laghouat,28,204
Ouargla,145,114
Jijel,128,330
Relizane,-41,289
Saida,-47,246
Guelma,176,315
Ghardaia,63,162
Mascara,-84,239
Khenchela,163,262
Oum el Bouaghi,167,294
El Bayadh,-26,166
Tamanrasset,93,-159
Tissemsilt,-3,289
Bouira,64,308
Adrar,-90,-50
Tindouf,-254,-16
Boumerdes,55,332
El Tarf,202,329
Tipasa,5,330
Illizi,188,8
Naama,-86,196
Ain Temouchent,-92,272
Ain Defla,3,306
Mila,137,310
Ouled Djellal,95,229
El M'Ghair,126,216
Touggourt,142,183
El Meniaa,41,96
Beni Abbès,-150,54
Timimoune,-34,59
In Salah,61,-15
Bordj Badji Mokhtar,-76,-169
Djanet,241,-141
In Guezzam,85,-298
